+--------------------------------+-------------+------------+----------+--------+--------+
|             Model              |    Split    |    Mode    | Accuracy | Errors |  Miss  |
|          deepseek_vl2          | E_metaphors | three-shot |  53.44%  | 0.00%  | 0.00%  |
|          deepseek_vl2          | E_metaphors |  two-shot  |  54.10%  | 0.00%  | 0.00%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |    cot     |  61.44%  | 0.00%  | 13.59% |
| gemini-2.5-flash-preview-04-17 | E_metaphors |   domain   |  63.52%  | 0.00%  | 9.17%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |  emotion   |  58.70%  | 0.00%  | 17.91% |
| gemini-2.5-flash-preview-04-17 | E_metaphors |    none    |  63.75%  | 0.00%  | 9.49%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |  one-shot  |  62.50%  | 0.00%  | 11.05% |
| gemini-2.5-flash-preview-04-17 | E_metaphors | three-shot |  66.93%  | 0.00%  | 5.28%  |
| gemini-2.5-flash-preview-04-17 | E_metaphors |  two-shot  |  63.95%  | 0.00%  | 7.63%  |
|          glm-4v-plus           | E_metaphors |    cot     |  63.18%  | 0.00%  | 1.83%  |
|          glm-4v-plus           | E_metaphors |   domain   |  63.84%  | 0.00%  | 0.88%  |
|          glm-4v-plus           | E_metaphors |  emotion   |  64.60%  | 0.00%  | 0.85%  |
|          glm-4v-plus           | E_metaphors |    none    |  64.53%  | 0.00%  | 0.95%  |
|          glm-4v-plus           | E_metaphors |  one-shot  |  60.91%  | 0.00%  | 0.88%  |
|          glm-4v-plus           | E_metaphors | three-shot |  47.76%  | 0.00%  | 0.91%  |
|          glm-4v-plus           | E_metaphors |  two-shot  |  60.31%  | 0.00%  | 0.88%  |
|             gpt4o              | E_metaphors |    cot     |  60.37%  | 0.00%  | 0.00%  |
|             gpt4o              | E_metaphors |   domain   |  59.62%  | 0.00%  | 0.06%  |
|             gpt4o              | E_metaphors |  emotion   |  60.34%  | 0.00%  | 0.13%  |
|             gpt4o              | E_metaphors |    none    |  62.04%  | 0.00%  | 0.69%  |
|             gpt4o              | E_metaphors |  one-shot  |  67.34%  | 0.00%  | 0.03%  |
|             gpt4o              | E_metaphors | three-shot |  69.07%  | 0.00%  | 0.06%  |
|             gpt4o              | E_metaphors |  two-shot  |  69.36%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |    cot     |  51.99%  | 0.00%  | 0.16%  |
|          idefics2-8b           | E_metaphors |   domain   |  52.14%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |  emotion   |  52.77%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |    none    |  51.58%  | 0.00%  | 0.00%  |
|          idefics2-8b           | E_metaphors |  one-shot  |  48.83%  | 0.00%  | 3.06%  |
|          idefics2-8b           | E_metaphors | three-shot |  41.93%  | 0.00%  | 8.67%  |
|          idefics2-8b           | E_metaphors |  two-shot  |  43.06%  | 0.00%  | 11.82% |
|       qwen-vl-max-latest       | E_metaphors |    cot     |  58.71%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |   domain   |  63.22%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |  emotion   |  60.72%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |    none    |  62.73%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |  one-shot  |  64.59%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors | three-shot |  66.32%  | 0.00%  | 0.00%  |
|       qwen-vl-max-latest       | E_metaphors |  two-shot  |  67.46%  | 0.00%  | 0.00%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors |    cot     |  57.91%  | 0.00%  | 0.00%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors |   domain   |  63.08%  | 0.00%  | 0.00%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors |  emotion   |  62.16%  | 0.00%  | 0.03%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors |    none    |  63.32%  | 0.00%  | 0.00%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors |  one-shot  |  64.43%  | 0.00%  | 0.00%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors | three-shot |  67.49%  | 0.00%  | 0.00%  |
|    qwen2.5-vl-72b-instruct     | E_metaphors |  two-shot  |  68.46%  | 0.00%  | 0.00%  |
|          visualglm-6b          | E_metaphors |    cot     |  10.44%  | 0.00%  | 56.34% |
|          visualglm-6b          | E_metaphors |   domain   |  17.59%  | 0.00%  | 26.99% |
|          visualglm-6b          | E_metaphors |  emotion   |  17.72%  | 0.00%  | 28.81% |
|          visualglm-6b          | E_metaphors |    none    |  16.87%  | 0.00%  | 32.03% |
|          visualglm-6b          | E_metaphors |  one-shot  |  21.22%  | 0.00%  | 0.03%  |
|          visualglm-6b          | E_metaphors | three-shot |  24.65%  | 0.00%  | 0.03%  |
|          visualglm-6b          | E_metaphors |  two-shot  |  25.50%  | 0.00%  | 0.22%  |
|         yi_vl_34b_chat         | E_metaphors |    cot     |  54.19%  | 0.00%  | 0.00%  |
|         yi_vl_34b_chat         | E_metaphors |   domain   |  55.49%  | 0.00%  | 0.00%  |
|         yi_vl_34b_chat         | E_metaphors |  emotion   |  56.24%  | 0.00%  | 0.00%  |
|         yi_vl_34b_chat         | E_metaphors |    none    |  54.63%  | 0.00%  | 0.00%  |
|         yi_vl_34b_chat         | E_metaphors |  one-shot  |  55.52%  | 0.00%  | 0.03%  |
|         yi_vl_34b_chat         | E_metaphors | three-shot |  55.45%  | 0.00%  | 0.00%  |
|         yi_vl_34b_chat         | E_metaphors |  two-shot  |  56.56%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors |    cot     |  45.49%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors |   domain   |  45.96%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors |  emotion   |  47.79%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors |    none    |  46.53%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors |  one-shot  |  45.78%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors | three-shot |  45.33%  | 0.00%  | 0.00%  |
|         yi_vl_6b_chat          | E_metaphors |  two-shot  |  45.71%  | 0.00%  | 0.00%  |
+--------------------------------+-------------+------------+----------+--------+--------+


+--------------------------------+-------------+------------+----------+--------+--------+
| Model                          |    Split    |    Mode    | Accuracy | Errors |  Miss  |
+--------------------------------+-------------+------------+----------+--------+--------+
| InternLM-XComposer2-VL-7b      | C_metaphors |    cot     |  20.48%  | 0.00%  | 24.45% |
| InternLM-XComposer2-VL-7b      | C_metaphors |   domain   |  20.65%  | 0.00%  | 31.18% |
| InternLM-XComposer2-VL-7b      | C_metaphors |  emotion   |  22.24%  | 0.00%  | 32.08% |
| InternLM-XComposer2-VL-7b      | C_metaphors |    none    |  27.24%  | 0.00%  | 19.23% |
| InternLM-XComposer2-VL-7b      | C_metaphors |  one-shot  |  35.88%  | 0.00%  | 0.07%  |
| InternLM-XComposer2-VL-7b      | C_metaphors | three-shot |  37.05%  | 0.00%  | 0.00%  |
| InternLM-XComposer2-VL-7b      | C_metaphors |  two-shot  |  37.98%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors |    cot     |  63.98%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors |   domain   |  63.50%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors |  emotion   |  65.37%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors |    none    |  65.19%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors |  one-shot  |  62.43%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors | three-shot |  58.74%  | 0.00%  | 0.00%  |
| InternVL2-8B                   | C_metaphors |  two-shot  |  59.56%  | 0.00%  | 0.00%  |
| InternVL2_5-8B                 | C_metaphors |    cot     |  62.78%  | 0.00%  | 0.14%  |
| InternVL2_5-8B                 | C_metaphors |   domain   |  65.92%  | 0.00%  | 0.03%  |
| InternVL2_5-8B                 | C_metaphors |  emotion   |  67.37%  | 0.00%  | 0.00%  |
| InternVL2_5-8B                 | C_metaphors |    none    |  66.64%  | 0.00%  | 0.00%  |
| InternVL2_5-8B                 | C_metaphors |  one-shot  |  62.74%  | 0.00%  | 2.59%  |
| InternVL2_5-8B                 | C_metaphors | three-shot |  61.50%  | 0.00%  | 2.59%  |
| InternVL2_5-8B                 | C_metaphors |  two-shot  |  62.71%  | 0.00%  | 0.14%  |
| MiniCPM-Llama3-V-2_5           | C_metaphors |    cot     |  40.40%  | 0.00%  | 26.04% |
| MiniCPM-Llama3-V-2_5           | C_metaphors |   domain   |  42.65%  | 0.00%  | 23.48% |
| MiniCPM-Llama3-V-2_5           | C_metaphors |  emotion   |  42.13%  | 0.00%  | 22.93% |
| MiniCPM-Llama3-V-2_5           | C_metaphors |    none    |  44.16%  | 0.00%  | 23.20% |
| MiniCPM-Llama3-V-2_5           | C_metaphors |  one-shot  |  45.89%  | 0.00%  | 14.19% |
| MiniCPM-Llama3-V-2_5           | C_metaphors | three-shot |  46.48%  | 0.00%  | 13.54% |
| MiniCPM-Llama3-V-2_5           | C_metaphors |  two-shot  |  46.51%  | 0.00%  | 14.05% |
| Qwen-VL-Chat                   | C_metaphors |    cot     |  42.78%  | 0.00%  | 0.21%  |
| Qwen-VL-Chat                   | C_metaphors |   domain   |  41.54%  | 0.00%  | 0.28%  |
| Qwen-VL-Chat                   | C_metaphors |  emotion   |  43.96%  | 0.00%  | 0.35%  |
| Qwen-VL-Chat                   | C_metaphors |    none    |  43.13%  | 0.00%  | 0.45%  |
| Qwen-VL-Chat                   | C_metaphors |  one-shot  |  40.68%  | 0.00%  | 0.00%  |
| Qwen-VL-Chat                   | C_metaphors | three-shot |  39.85%  | 0.00%  | 0.03%  |
| Qwen-VL-Chat                   | C_metaphors |  two-shot  |  40.61%  | 0.00%  | 0.03%  |
| claude-3-7-sonnet-20250219     | C_metaphors |    cot     |  69.14%  | 0.00%  | 0.03%  |
| claude-3-7-sonnet-20250219     | C_metaphors |   domain   |  69.18%  | 0.00%  | 0.00%  |
| claude-3-7-sonnet-20250219     | C_metaphors |  emotion   |  68.06%  | 0.00%  | 0.10%  |
| claude-3-7-sonnet-20250219     | C_metaphors |    none    |  65.24%  | 0.00%  | 0.07%  |
| claude-3-7-sonnet-20250219     | C_metaphors |  one-shot  |  66.91%  | 0.00%  | 0.00%  |
| claude-3-7-sonnet-20250219     | C_metaphors | three-shot |  66.50%  | 0.00%  | 0.00%  |
| claude-3-7-sonnet-20250219     | C_metaphors |  two-shot  |  66.37%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors |    cot     |  59.36%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors |   domain   |  61.98%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors |  emotion   |  63.81%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors |    none    |  62.50%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors |  one-shot  |  60.98%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors | three-shot |  62.71%  | 0.00%  | 0.00%  |
| deepseek_vl2                   | C_metaphors |  two-shot  |  62.05%  | 0.00%  | 0.00%  |
| gemini-2.5-flash-preview-04-17 | C_metaphors |    cot     |  36.26%  | 0.00%  | 37.74% |
| gemini-2.5-flash-preview-04-17 | C_metaphors |   domain   |  52.73%  | 0.00%  | 25.66% |
| gemini-2.5-flash-preview-04-17 | C_metaphors |  emotion   |  48.38%  | 0.00%  | 31.11% |
| gemini-2.5-flash-preview-04-17 | C_metaphors |    none    |  51.55%  | 0.00%  | 26.28% |
